Date;S&P500;MSFT;CSCO;INTC;IBM;ORCL;AAPL;HPQ;EMC;TXN;QCOM;AMAT;ADBE;MU;ADI;KLAC;LRCX;GLW;AKAM ;CDNS;SNPS;NTAP;LU;MSI;ARBA;VIGN;PSIX;INKT;AMZN;EBAY;CTXS
12/30/1994;459,27;3,8203125;1,9513907;3,9921875;18,375;2,1790166;0,34821394;12,484375;2,7460938;4,6796875;1,5;2,640625;3,71875;11,03125;5,854172;1,225;1,2416654;9,958323;;4,583338;10,9375;;;135,3332;;;;;;;
01/03/1995;459,11;3,7617188;1,8958352;3,984375;18,4375;2,117288;0,34263355;12,296875;2,671875;4,59375;1,515625;2,515625;3,6953125;10,9375;5,5625057;1,2;1,2166654;9,9166565;;4,3611155;11,21875;;;132,99986;;;;;;;
01/04/1995;460,71;3,7890625;1,909724;3,9765625;18,59375;2,1358068;0,35156214;12,390625;2,75;4,5625;1,53125;2,5;3,59375;11;5,4166727;1,2;1,233332;9,9166565;;4,5000043;10,875;;;132,56236;;;;;;;
01/05/1995;460,34;3,7265625;1,8958352;4,0078125;18,5;2,0925965;0,34709787;12,328125;2,734375;4,5625;1,515625;2,53125;3,734375;10,84375;5,468753;1,18125;1,1916655;9,7916565;;4,472226;10,9375;;;133,87486;;;;;;;
01/06/1995;460,68;3,7890625;1,8958352;4,0625;18,78125;2,117288;0,3749996;12,546875;2,6875;4,453125;1,5;2,546875;3,8125;10,84375;5,625003;1,1625;1,1833321;10,0416565;;4,527782;11,0625;;;135,3332;;;;;;;
01/09/1995;460,83;3,765625;1,9375019;4,125;18,875;2,1790166;0,36788467;12,6875;2,796875;4,4765625;1,453125;2,609375;3,859375;10,75;5,687503;1,18125;1,1958321;10,2499895;;4,527782;11,4375;;;137,37486;;;;;;;
01/10/1995;461,68;3,8125;1,9652797;4,1640625;19,15625;2,1851892;0,39006656;12,875;2,828125;4,703125;1,453125;2,6875;3,9296875;11,1875;5,718753;1,2;1,2812487;10,1666565;;4,8888936;11,875;;;144,0832;;;;;;;
01/11/1995;461,66;3,8359375;1,9791685;4,140625;19;2,1203744;0,41741028;12,921875;2,84375;4,6875;1,4296875;2,6796875;3,875;11,28125;5,5312524;1,2125;1,2999986;10,1666565;;4,8888936;11,625;;;141,74986;;;;;;;
01/12/1995;461,64;3,828125;1,9791685;4,1953125;19;2,104942;0,4051335;12,875;2,828125;4,7578125;1,40625;2,71875;3,9453125;11,5625;5,562503;1,234375;1,3041652;10,083323;;4,9166713;11,5625;;;144,9582;;;;;;;
01/13/1995;465,97;3,921875;1,9930574;4,2578125;19,09375;2,080251;0,40066925;12,984375;2,8125;4,6953125;1,3125;2,6875;3,90625;11,3125;5,5312524;1,3125;1,4083319;10,1249895;;4,9444485;11,609375;;;144,9582;;;;;;;
01/16/1995;469,38;4,0078125;2,034724;4,2578125;19,375;2,0679052;0,397321;13,15625;2,8125;4,6328125;1,3828125;2,78125;3,84375;11,34375;5,781253;1,36875;1,4666651;10,083323;;5,055561;12,03125;;;146,12485;;;;;;;
01/17/1995;470,05;4,0390625;2,0277798;4,1875;19,375;2,141979;0,4017853;13,140625;2,8125;4,578125;1,515625;2,765625;4,0625;11,59375;5,781253;1,3781251;1,4541652;10,4999895;;5,2777834;12,375;;;145,8332;;;;;;;
01/18/1995;469,72;4,0664063;2,0208352;4,3359375;19,3125;2,1358068;0,40736565;13,296875;2,78125;4,65625;1,53125;2,75;4,0390625;11,65625;5,562503;1,35;1,4416652;10,583323;;5,2500052;12,5;;;145,8332;;;;;;;
01/19/1995;466,95;3,96875;1,9861131;4,4179688;19,125;2,2098808;0,40959784;13,34375;2,625;4,6484375;1,5;2,7109375;3,90625;11,59375;5,656253;1,35;1,3708318;10,874989;;5,222227;12,28125;;;145,24985;;;;;;;
01/20/1995;464,78;3,8515625;1,9444462;4,3007813;18,84375;2,169757;0,38057995;13,125;2,5;4,6015625;1,453125;2,640625;3,8125;11,40625;5,500003;1,3125;1,3583319;10,708323;;5,0277824;11,90625;;;142,62486;;;;;;;
01/23/1995;465,81;3,9257813;1,940974;4,3984375;18,5625;2,1234608;0,3772318;13,015625;2,453125;4,515625;1,578125;2,6015625;3,8125;11,46875;5,468753;1,3000001;1,3708318;10,416656;;5,111116;11,75;;;142,62486;;;;;;;
01/24/1995;465,86;3,8759766;1,9930574;4,46875;18,5;2,117288;0,3716514;13,171875;2,46875;4,5234375;1,71875;2,6796875;3,8125;11,875;5,5312524;1,31875;1,4083319;10,541656;;5,222227;11,9375;;;144,9582;;;;;;;
01/25/1995;467,44;3,859375;1,940974;4,4296875;18,09375;2,1604981;0,36593154;12,875;2,421875;4,4140625;1,6875;2,53125;3,75;11,4375;5,4375024;1,3312501;1,3541653;10,4999895;;5,0833383;11,75;;;141,74986;;;;;;;
01/26/1995;468,32;3,7421875;1,8888907;4,4023438;18,09375;2,117288;0,3526782;12,734375;2,328125;4,34375;1,7578125;2,4375;3,71875;11,125;5,406253;1,2953125;1,283332;10,4999895;;5,000005;11,5;;;139,99986;;;;;;;
