Date;SP500;MSFT;CSCO;INTC;IBM;ORCL;HPQ;EMC;TXN;QCOM;AMAT;ADBE;MU;ADI;KLAC;LRCX;GLW;AKAM;CDNS;SNPS;CTXS;NTAP;MSI
01/02/2003;909,03;26,86;13,64;16,69;80,57;11,21;18,2;6,35;16,04;18,57;13,98;12,8;10;25,9;3,736;1,165;3,75;1,88;11,66;23,46;13;10,7;64,40001
01/03/2003;908,59;26,895;13,91;16,54;81,65;11,56;18,57;6,39;16,13;17,85;14,53;13,15;10,16;26,01;3,9;1,151;3,81;1,9;9,24;21,125;13,56;10,711;64,19002
01/06/2003;929,01;27,385;14,2;17,18;83,59;11,96;19,65;6,8;17,04;18,685;15,41;13,755;10,56;27,61;4,084;1,257;3,95;1,867;9,8;21,815;14;11,63;67,90001
01/07/2003;922,93;27,9;14,6;17,36;86;12,69;19,95;7,47;16,5;18,63;15,3;14,255;11;27,74;4,046;1,271;4,01;1,747;9,36;20,845;14,09;12,05;67,829994
01/08/2003;909,93;27,12;14,44;16,68;84,19;12,12;19,5;7,45;16;18,31;14,63;13,565;10,05;27,01;3,9380002;1,2390002;3,77;1,66;9,65;21,05;13,42;11,73;67,619995
01/09/2003;927,58;27,905;14,95;17,06;87;13,01;20,48;7,82;15,86;19,34;15,04;14,12;9,95;28,35;4,046;1,323;4,25;1,78;10,13;21,82;14,02;13,03;69,299995
01/10/2003;927,57;27,96;15,22;17,42;87,68;13,07;20,85;7,89;16,05;19,225;15,7;14,325;10,29;28,94;4,1410003;1,3790001;4,51;1,77;10,11;21,635;14,17;13,1;69,51
01/13/2003;926,26;28,195;15,28;17,38;87,51;12,93;20,36;7,7;16,1;19,35;15,4;14,275;10,09;27,7;4,045;1,3460001;4,61;1,77;10;20,885;14,4;12,56;66,15001
01/14/2003;931,66;28,485;15,58;17,79;88,58;13,11;20,6;7,8;16,12;19,66;15,36;14,555;10,2;28,01;3,9650002;1,355;4,72;1,81;10,2;21,485;14,76;12,99;66,22002
01/15/2003;918,22;28,135;15,18;17,35;87,59;12,53;20,25;7,57;15,91;19,185;14,45;13,985;9,96;27,45;3,845;1,2860001;4,71;1,76;10;21,25;14,48;12,69;64,75
01/16/2003;914,6;27,675;14,9;17,2;86,05;12,17;19,99;7,36;15,07;19,195;14,34;13,6;9,65;26,6;3,7830002;1,309;4,15;1,7;10;20,315;14,11;11,98;63,91
01/17/2003;901,78;25,73;14,13;16,34;81,3;11,44;19,23;6,9;14,55;18,4;13,53;12,93;9,16;24,98;3,602;1,233;4,29;1,54;9,85;20;12,83;11,28;61,390003
01/21/2003;887,62;25,665;14,182;16,29;80,54;11,57;18,93;6,86;14,15;18,48;13,52;12,835;8,9;24,6;3,573;1,249;4,1;1,49;9,6;19,6;12,97;11,32;61,25
01/22/2003;878,36;25,5;13,96;16,25;79,7;11,62;18,95;6,98;14,25;18,345;13,78;12,89;8,5;24,62;3,6200001;1,2140001;4,07;1,485;10,01;19,585;12,83;11,39;59,71001
01/23/2003;887,34;26,14;14,59;16,67;81,05;12,46;19,6;7,55;16,12;18,965;14,06;13,405;8,79;25,63;3,641;1,298;4,36;1,5;10,29;20,12;13,65;12,18;60,690006
01/24/2003;861,4;24,925;13,86;15,85;78,99;11,77;18,75;7,14;15,86;18,4;13,27;12,935;8,23;25,03;3,4459999;1,23;4;1,4;10,02;19,58;13,27;11,18;60,690006
01/27/2003;847,48;24,585;13,71;15,88;78,42;11,93;18,37;7,06;15,42;18,19;13,28;12,905;7,99;24,61;3,4520001;1,215;3,94;1,31;9,99;19,24;12,76;11,2;58,66
01/28/2003;858,54;24,41;14,22;16,03;80,11;11,97;18,78;7,72;16;18,545;13,24;13,34;7,94;25,04;3,4669998;1,2390002;4,16;1,36;10,37;19,29;13,45;11,87;58,100006
01/29/2003;864,36;24,955;14,08;16,66;80,32;12,02;19,29;7,78;16,35;19,005;13,6;13,355;8,42;25,19;3,5849998;1,298;4,35;1,43;10,08;19,705;13,78;11,96;58,100006
01/30/2003;844,61;24,12;13,87;15,79;78,3;11,75;18,2;7,52;15,66;18,77;12,95;13,21;8,32;23,57;3,375;1,2080001;4,13;1,39;9,7;19,245;13,86;11,2;56,70001
01/31/2003;855,7;23,73;13,37;15,7;78,2;12,03;17,41;7,7;15,9;18,83;11,97;13,21;8,21;23,93;3,264;1,169;4,08;1,33;9,92;19,335;13,8;10,81;55,86001
02/03/2003;860,32;24,28;13,48;15,77;78,18;12,01;17,48;7,66;15,85;18,67;12,02;13,53;8,4;23,74;3,223;1,1850001;4,1;1,31;9,8;19,445;14,11;10,89;56
02/04/2003;848,2;23,66;13,2;15,64;77,09;11,73;17,5;7,79;15,49;18,3;12,18;13,215;8,25;23,74;3,23;1,248;4,02;1,23;9,64;19,085;13,6;10,82;55,37001
02/05/2003;843,59;23,48;13,2;15,58;77,26;11,52;17,11;7,76;15,49;18,14;12,02;13,26;8,14;23,49;3,279;1,237;4,04;1,26;9,7;18,85;13,14;10,66;54,740013
02/06/2003;838,15;23,71;13,242;15,38;77,51;11,53;17,03;7,62;15,06;18,29;12;13,26;7,62;23,04;3,223;1,2470001;4,2;1,27;9,62;18,785;11,89;10,55;54,11001
02/07/2003;829,69;23,29;12,85;15,05;77,1;11,34;16,48;7,43;14,99;18,12;11,81;13,07;7,61;23,06;3,164;1,228;4,57;1,427;9,51;18,49;11,83;10,27;53,97001
02/10/2003;835,97;23,69;13,15;15,27;77,91;11,75;16,64;7,95;15,05;18,81;12,05;13,315;7,35;23,46;3,229;1,2571;5,4;1,35;9,59;18,32;11,59;10,53;56,21001
02/11/2003;829,2;23,22;13,47;15,34;77,39;11,915;16,85;7,76;15,44;18,825;11,94;13,35;7,23;24;3,2099998;1,238;5,34;1,27;9,65;18,645;11,67;10,77;57,049995
02/12/2003;818,68;23,22;13,2;15,15;76,5;11,5;16,62;7,57;15,25;18,28;11,819;13,39;7;24;3,2040002;1,235;4,95;1,23;9,51;18,655;11,64;10,56;56
02/13/2003;817,37;23,495;13,31;15,53;75,86;11,54;16,95;7,86;14,91;16,955;11,81;13,465;6,76;23,88;3,2169998;1,195;5,05;1,23;9,58;18,25;11,62;10,41;55,86001
02/14/2003;834,89;24,15;13,68;16,15;77,45;11,7;17,79;7,91;15,48;17,35;12,4;13,715;7,2;26,9;3,4310002;1,256;5,18;1,33;9,85;19,18;11,86;10,73;58,799995
02/18/2003;851,17;24,96;14,31;16,71;79,33;12,42;18,44;8,5;16,24;17,695;12,74;14,18;7,17;27,76;3,5110002;1,332;5,25;1,43;10;19,78;12,51;11,24;57,82
02/19/2003;845,13;24,53;14,42;16,8;79,51;12,32;17,81;8,18;16,41;17,77;12,41;14,13;7,44;27,3;3,4650002;1,3100001;5,21;1,44;10,06;19,875;12,56;11,11;58,03
02/20/2003;837,1;24,15;14,26;17,02;79,04;12,31;17,87;8,25;15,99;17,35;12,78;14,18;7,75;27,9;3,5310001;1,3590001;5,14;1,381;10,28;20,23;12,58;11,14;57,54
02/21/2003;848,17;24,61;14,67;16,78;79,95;12,39;18,17;8,04;15,89;17,61;12,8;14,555;7,52;28,26;3,5049999;1,314;4,99;1,46;10,23;20,575;12,5;11,3;57,75
02/24/2003;832,58;24,07;14,42;16,54;78,56;11,82;17,75;7,82;15,93;17,59;12,82;14,18;7,47;27,86;3,5340002;1,316;4,89;1,4;10,17;20,37;12,22;10,94;56,769997
02/25/2003;838,57;24,19;14,08;16,73;79,07;11,94;18,18;7,68;16,03;17,385;12,65;14,14;7,36;27,97;3,501;1,332;4,84;1,54;10,33;20,46;11,97;10,65;57,049995
02/26/2003;827,55;23,6;13,51;16,24;77,4;11,71875;15,37;7,51;15,75;16,735;12,323;13,54;7,53;27,26;3,405;1,2770001;4,74;1,6;10,46;20,23;11,64;10,25;57,12
02/27/2003;837,28;23,58;13,75;16,7;77,28;11,89;15,54;7,14;16,3;17,11;12,58;13,605;7,61;28,34;3,5130002;1,3180001;4,8;1,58;10,56;20,345;11,82;10,55;57,96001
